,ID,SUMMARY,CLASSIFIED
258,LUCENE-5258, add distance function to expressions/ ,NUG
259,LUCENE-5259, convert analysis consumers to try-with-resources ,NUG
260,LUCENE-5260, Make older Suggesters more accepting of TermFreqPayloadIterator ,NUG
261,LUCENE-5261, add simple API to build queries from analysis chain ,NUG
262,LUCENE-5262," StandardDirectoryReader should decRef readers on exception, not close them ",BUG
263,LUCENE-5263," Deletes may be silently lost if an IOException is hit and later not hit (e.g., disk fills up and then frees up) ",BUG
264,LUCENE-5264, CommonTermsQuery ignores minMustMatch if only high freq terms are present. ,BUG
265,LUCENE-5265, Make BlockPackedWriter constructor take an acceptable overhead ratio ,NUG
266,LUCENE-5266, Optimization of the direct PackedInts readers ,NUG
267,LUCENE-5267, java.lang.ArrayIndexOutOfBoundsException on reading data ,BUG
268,LUCENE-5268," Cutover more postings formats to the inverted ""pull"" API ",NUG
269,LUCENE-5269, TestRandomChains failure ,BUG
270,LUCENE-5270, add Terms.hasFreqs ,NUG
271,LUCENE-5271, A slightly more accurate SloppyMath distance ,NUG
272,LUCENE-5272, OpenBitSet.ensureCapacity does not modify numBits ,BUG
273,LUCENE-5273," Binary artifacts in Lucene and Solr convenience binary distributions accompanying a release, including on Maven Central, should be identical across all distributions ",NUG
274,LUCENE-5274," Teach fast FastVectorHighlighter to highlight ""child fields"" with parent fields ",NUG
275,LUCENE-5275, Fix AttributeSource.toString() ,NUG
276,LUCENE-5276, Spellchecker - provide add/remove word methods ,NUG
277,LUCENE-5277, Modify FixedBitSet copy constructor to take numBits to allow grow/shrink the new bitset ,NUG
278,LUCENE-5278, MockTokenizer throws away the character right after a token even if it is a valid start to a new token ,BUG
279,LUCENE-5279, Don't use recursion in DisjunctionSumScorer.countMatches ,NUG
280,LUCENE-5280, Rename TermFreqPayloadIterator -> SuggestionIterator ,NUG
281,LUCENE-5281, NPE: TestDirectoryTaxonomyReader.testGetChildren ,BUG
282,LUCENE-5282, speed up javadocs generation tasks ,NUG
283,LUCENE-5283, Fail the build if ant test didn't execute any tests (everything filtered out). ,NUG
284,LUCENE-5284, Make it possible to filter classification training by Query ,NUG
285,LUCENE-5285, FastVectorHighlighter copies segments scores when splitting segments across multi-valued fields ,BUG
286,LUCENE-5286, data races in org.apache.lucene.queryParser.QueryParserTokenManager ,BUG
287,LUCENE-5287, improvements for testing packed ints ,NUG
288,LUCENE-5288," Add ProxBooleanTermQuery, like BooleanQuery but boosting when term occur ""close"" together (in proximity) in each document ",NUG
289,LUCENE-5289, IndexWriter.hasUncommittedChanges() returns false if there are pending delete by term only ,BUG
290,LUCENE-5290, Backport train Query filtering and performance tests to 4.x ,NUG
291,LUCENE-5291, Faster Query-Time Join ,NUG
292,LUCENE-5292, Remove code dup in Disjunction/Sum/MaxScorer ,NUG
293,LUCENE-5293, Also use EliasFanoDocIdSet in CachingWrapperFilter ,NUG
294,LUCENE-5294, Suggester Dictionary implementation that takes expressions as term weights ,NUG
295,LUCENE-5295, Allow the license checker to optionally avoid check sum comparisons. ,NUG
296,LUCENE-5296, Add DirectDocValuesFormat ,NUG
297,LUCENE-5297, Allow rang faceting on any ValueSource ,NUG
298,LUCENE-5298, Allow aggregating facets by any ValueSource ,NUG
299,LUCENE-5299, Refactor Collector API for parallelism ,NUG
300,LUCENE-5300, SORTED_SET could use SORTED encoding when the field is actually single-valued ,NUG
301,LUCENE-5301, All PackedInts APIs should share a common interface for random-access reads ,NUG
302,LUCENE-5302, Make StemmerOverrideMap methods public ,NUG
303,LUCENE-5303, OrdinalsCache should use reader.getCoreCacheKey() ,BUG
304,LUCENE-5304, SingletonSortedSetDocValues should allow for getting back the wrapped instance ,BUG
305,LUCENE-5305, DocumentExpressionDictionaryTest Failure ,BUG
306,LUCENE-5306, Add CompositeReader Support to DocumentExpressionDictionary ,NUG
307,LUCENE-5307, Inconsistency between Weight.scorer documentation and ConstantScoreQuery on top of a Filter ,BUG
308,LUCENE-5308, explore per-dimension fixed-width ordinal encoding ,NUG
309,LUCENE-5309," when using SortedSetDV faceting, specialize the case when all docs are single-valued ",NUG
310,LUCENE-5310, Merge Threads unnecessarily block on SerialMergeScheduler ,BUG
311,LUCENE-5311, Make it possible to train / run classification over multiple fields ,NUG
312,LUCENE-5312, Block-join-friendly index sorting ,NUG
313,LUCENE-5313," Add ""preservePositionIncrements"" to AnalyzingSuggester and FuzzySuggester constructors ",NUG
314,LUCENE-5314, Decide on whether the central class of the sorting API should be a sorter or a comparator ,NUG
315,LUCENE-5315, Some subclasses of Scorer do not honor the contract of DocsEnum.freq() ,BUG
316,LUCENE-5316, Taxonomy tree traversing improvement ,NUG
317,LUCENE-5317, Concordance/Key Word In Context (KWIC) capability ,NUG
318,LUCENE-5318, Co-occurrence counts from Concordance ,NUG
319,LUCENE-5319," Keywords in concordance windows, Solr Wrapper for LUCENE-5318 ",NUG
320,LUCENE-5320, Create SearcherTaxonomyManager over Directory ,NUG
321,LUCENE-5321, Remove Facet42DocValuesFormat ,NUG
322,LUCENE-5322, Clean up / simplify Maven-related Ant targets ,NUG
323,LUCENE-5323, Add sizeInBytes to Suggester.Lookup  ,NUG
324,LUCENE-5324, Make AnalyzerWrapper.get(Offset|PositionIncrement)Gap non-final ,NUG
325,LUCENE-5325, Move ValueSource and FunctionValues under core/ ,NUG
326,LUCENE-5326, Add enum facet method to Lucene facet module ,NUG
327,LUCENE-5327, Expose getNumericDocValues and getBinaryDocValues at toplevel reader and searcher levels ,NUG
328,LUCENE-5328, Adding a AtomicReader implementation that supports injection of dynamic data at runtime ,NUG
329,LUCENE-5329, Make DocumentDictionary and co more lenient to dirty documents ,NUG
330,LUCENE-5330, IndexWriter doesn't process all events on getReader / close / rollback ,BUG
331,LUCENE-5331, nested SpanNearQuery with repeating groups does not find match ,BUG
332,LUCENE-5332, SpanNearQuery with multiple terms does not find match ,BUG
333,LUCENE-5333, Support sparse faceting for heterogeneous indices ,BUG
334,LUCENE-5334, Add Namespaces to Expressions Javascript Compiler ,NUG
335,LUCENE-5335," Change raw Map type to Map<String,Object> for ValueSource context ",NUG
336,LUCENE-5336, Add a simple QueryParser to parse human-entered queries. ,NUG
337,LUCENE-5337, Add Payload support to FileDictionary (Suggest) and make it more configurable ,NUG
338,LUCENE-5338, Let classifiers filter unlabeled documents during training ,NUG
339,LUCENE-5339, Simplify the facet module APIs ,NUG
340,LUCENE-5340, build not respecting JAVA_HOME ,BUG
341,LUCENE-5341," Generated documentation should link to the default codec's index format documentation, rather than being hard coded in lucene/site/xsl/index.xsl ",NUG
342,LUCENE-5342, CompressingStoredFieldsFormat's bulk merge should be disabled when reader and writer don't have the same chunk size ,NUG
343,LUCENE-5343, Potential floating point precision error in ConjuncionScorer.score() ,BUG
344,LUCENE-5344, Flexible StandardQueryParser behaves differently than ClassicQueryParser ,BUG
345,LUCENE-5345, range facets don't work with float/double fields ,BUG
346,LUCENE-5346, Missing include path for 'build-native-unix' task in lucene-misc module on Mac OS X ,BUG
347,LUCENE-5347, Update to forbidden-apis 1.4 ,NUG
348,LUCENE-5348, Allow to define MLT min doc and term freq for kNN classifier ,NUG
349,LUCENE-5349, Ivy's resolution cache can easily corrupt and cause premature end of file errors. ,NUG
350,LUCENE-5350, Add Context Aware Suggester ,NUG
351,LUCENE-5351, DirectoryReader#close can throw AlreadyClosedException if it's and NRT reader ,BUG
