ID,CLASSIFIED,SUMMARY
LUCENE-2571,NUG, Indexing performance tests with realtime branch 
LUCENE-2290,NUG, Remove unnecessary String concatenation in IndexWriter 
LUCENE-1114,NUG, contrib/Highlighter javadoc example needs to be updated 
LUCENE-3401,BUG, need to ensure that sims that use collection-level stats (e.g. sumTotalTermFreq) handle non-existent field 
LUCENE-325,NUG, [PATCH] new method expungeDeleted() added to IndexWriter 
LUCENE-3182,BUG, TestAddIndexes reproducible test failure on turnk 
LUCENE-2940,BUG, NPE in TestNRTThreads 
LUCENE-1987,NUG," Remove rest of analysis deprecations (Token, CharacterCache) "
LUCENE-1011,BUG, Two or more writers over NFS can cause index corruption 
LUCENE-2688,NUG, NativeFSLockFactory throws an exception on Android 2.2 platform as java.lang.management package is not available on android. 
LUCENE-1272,NUG, Support for boost factor in MoreLikeThis 
LUCENE-822,NUG, Make FieldSelector usable from Searchable  
LUCENE-3296,NUG, Enable passing a config into PKIndexSplitter 
LUCENE-2293,NUG, IndexWriter has hard limit on max concurrency 
LUCENE-879,NUG, Document number integrity merge policy 
LUCENE-2011,NUG, Remove deprecated Scorer.explain(int) method 
LUCENE-288,NUG, [patch] better support gcj compilation 
LUCENE-1016,NUG," TermVectorAccessor, transparent vector space access  "
LUCENE-1314,NUG, IndexReader.clone 
LUCENE-967,NUG," Add ""tokenize documents only"" task to contrib/benchmark "
LUCENE-3800,BUG, Readers wrapping other readers don't prevent usage if any of their subreaders was closed 
LUCENE-223,NUG, [PATCH] remove unused variables 
LUCENE-1550,NUG, Add N-Gram String Matching for Spell Checking 
LUCENE-387,NUG, Contrib: Main memory based SynonymMap and SynonymTokenFilter 
LUCENE-354,NUG, FIXME in src/test/org/apache/lucene/IndexTest.java 
LUCENE-2059,NUG, benchmark pkg: allow TrecContentSource not to change the docname 
LUCENE-348,NUG, fileformats.xml doesn't document compound file streams 
LUCENE-1405,NUG, Support for new Resources model in ant 1.7 in Lucene ant task. 
LUCENE-3345,BUG, docvalues FNFE 
LUCENE-866,NUG, Multi-level skipping on posting lists 
LUCENE-1742,NUG, Wrap SegmentInfos in public class  
LUCENE-2989,NUG, TestCollectionUtil fails on IBM JRE 
LUCENE-873,NUG, nightly builds depend on clover 
LUCENE-2067,NUG, Czech Stemmer 
LUCENE-3556,NUG, Make DirectoryTaxonomyWriter's indexWriter member private 
LUCENE-2561,BUG, Fix exception handling and thread safety in realtime branch 
LUCENE-1913,BUG, FastVectorHighlighter: AIOOBE occurs if one PhraseQuery is contained by another PhraseQuery 
LUCENE-2624,NUG, add new snowball languages 
LUCENE-272,NUG, [PATCH] Remove equals() from internal Comparator of ConjunctionScorer 
LUCENE-488,BUG, adding docs with large (binary) fields of 5mb causes OOM regardless of heap size 
LUCENE-1558,NUG, Make IndexReader/Searcher ctors readOnly=true by default 
LUCENE-2742,NUG, Enable native per-field codec support  
LUCENE-1427,NUG, QueryWrapperFilter should not do scoring 
LUCENE-2124,NUG," move JDK collation to core, ICU collation to ICU contrib "
LUCENE-3249,NUG, Move Solr's FunctionQuery impls to Queries Module 
LUCENE-1048,BUG, Lock.obtain(timeout) behaves incorrectly for large timeouts 
LUCENE-3051,BUG, don't call SegmentInfo.sizeInBytes for the merging segments 
LUCENE-1442,BUG, NOT_ANALYZED fields can double-count offsets 
LUCENE-1918,BUG, Adding empty ParallelReader indexes to an IndexWriter may cause ArrayIndexOutOfBoundsException or NoSuchElementException 
LUCENE-3709,BUG, norms reading fails with FileNotFound in exceptional case 
LUCENE-2700,NUG, Expose DocValues via Fields 
LUCENE-2797,NUG, upgrade icu to 4.6 
LUCENE-1728,NUG, Move SmartChineseAnalyzer & resources to own contrib project 
LUCENE-3068,BUG, The repeats mechanism in SloppyPhraseScorer is broken when doc has tokens at same position 
LUCENE-3827,NUG, Make term offsets work in MemoryIndex 
LUCENE-3692,BUG, DocumentsWriter blocks flushes when applyDeletes takes forever - memory not released 
LUCENE-2477,NUG, remove MoreLikeThis's default analyzer 
LUCENE-1090,NUG, remove relative paths assumptions from benchmark code 
LUCENE-864,NUG, contrib/benchmark files need eol-style set 
LUCENE-728,NUG, Remove or deprecate contrib/similarity 
LUCENE-3058,NUG, FST should allow more than one output for the same input 
LUCENE-1251,BUG," on disk full during close, FSIndexOutput fails to close descriptor "
LUCENE-1339,NUG, Add IndexReader.acquire() and release() methods using IndexReader's ref counting 
LUCENE-3024,BUG," If index has more than Integer.MAX_VALUE terms, seeking can it AIOOBE due to long/int overflow "
LUCENE-1383,NUG," Work around ThreadLocal's ""leak"" "
LUCENE-3528,BUG, TestNRTManager hang 
LUCENE-867,NUG, Incomplete lucene-core-1.9.1 in Maven2 repository 
LUCENE-1365,NUG, deprecate IndexWriter.addIndexes(Directory[]) 
LUCENE-2689,BUG, remove NativeFSLockFactory's attempt to acquire a test lock 
LUCENE-2298,NUG, Polish Analyzer 
LUCENE-653,BUG, GData-server storage fix activation depth 
LUCENE-3757,NUG, Change AtomicReaderContext.leaves() to return itsself as only leave to simplify code and remove an otherwise unneeded ReaderUtil method 
LUCENE-834,NUG, Payload Queries 
LUCENE-2824,NUG, optimizations for bufferedindexinput 
LUCENE-3552,NUG, TaxonomyReader/Writer and their Lucene* implementation 
LUCENE-2664,NUG, Add SimpleText codec 
LUCENE-1764,BUG, SampleComparable doesn't work well in contrib/remote tests 
LUCENE-2591,NUG, TestNLS fails with ja locale 
LUCENE-3416,NUG, Allow to pass an instance of RateLimiter to FSDirectory allowing to rate limit merge IO across several directories / instances 
LUCENE-969,NUG, Optimize the core tokenizers/analyzers & deprecate Token.termText 
LUCENE-3241,NUG, Remove Lucene core's FunctionQuery impls 
LUCENE-2069,NUG, fix LowerCaseFilter for unicode 4.0 
LUCENE-1976,BUG, isCurrent() and getVersion() on an NRT reader are broken 
LUCENE-3727,BUG, fix assertions/checks that use File.length() to use getFilePointer() 
LUCENE-1993,NUG, MoreLikeThis - allow to exclude terms that appear in too many documents (patch included) 
LUCENE-3053,NUG, improve test coverage for Multi* 
LUCENE-2380,NUG," Add FieldCache.getTermBytes, to load term data as byte[] "
LUCENE-1469,NUG, isValid should be invoked after analyze rather than before it so it can validate the output of analyze 
LUCENE-3671,NUG, Add a TypeTokenFilter 
LUCENE-444,BUG, StandardTokenizer loses Korean characters 
LUCENE-450,BUG, MatchAllDocsQuery doesn't honor boost or queryNorm 
LUCENE-1786,NUG, improve performance of contrib/TestCompoundWordTokenFilter 
LUCENE-1444,NUG, Broken javadocs->site docs links 
LUCENE-3589,BUG, BytesRef copy short missed the length setting 
LUCENE-2512,BUG, DeleteByPercentTask hits NPE 
LUCENE-3239,NUG," drop java 5 ""support"" "
LUCENE-3254,BUG, BitVector.isSparse is sometimes wrong 
LUCENE-1718,BUG, IndexReader.setTermInfosIndexDivisor doesn't carry over to reopened readers 
LUCENE-900,NUG, Enable Java asserts in the Junit tests 
LUCENE-1602,NUG, Rewrite TrieRange to use MultiTermQuery 
LUCENE-1484,NUG, Remove SegmentReader.document synchronization 
LUCENE-2277,BUG, QueryNodeImpl throws ConcurrentModificationException on add(List<QueryNode>) 
LUCENE-3045,BUG, QueryNodeImpl.containsTag(String) should lowercase the tag key 
LUCENE-1744,BUG, BooleanScorer2 fails to update this.doc when its the top scorer 
LUCENE-1539,NUG, Improve Benchmark 
LUCENE-536,BUG, JEDirectory delete issue 
LUCENE-1124,NUG, short circuit FuzzyQuery.rewrite when input token length is small compared to minSimilarity 
LUCENE-2109,NUG, Make DocsEnum subclass of DocIdSetIterator 
LUCENE-2353,BUG, Config incorrectly handles Windows absolute pathnames 
LUCENE-430,NUG, Reducing buffer sizes for TermDocs. 
LUCENE-1548,BUG, LevenshteinDistance code normalization is incorrect 
LUCENE-1125,NUG, Excessive Arrays.fill(0) in DocumentsWriter drastically slows down small docs (3.9X slowdown!) 
LUCENE-608,NUG," deprecate Document.fields(), add getFields() "
LUCENE-1810,NUG, Add a LATENT FieldSelectorResult 
LUCENE-1451,BUG, Can't create NIOFSDirectory w/o setting a system property 
LUCENE-3218,NUG, Make CFS appendable   
LUCENE-2699,NUG, Update StandardTokenizer and UAX29Tokenizer to Unicode 6.0.0 
LUCENE-2782,BUG, Possible rare thread hazard in IW.commit 
LUCENE-1472,NUG, DateTools.stringToDate() can cause lock contention under load 
LUCENE-2579,NUG, Small imprecision in Search package Javadocs 
LUCENE-239,NUG, [PATCH] cleaner API for Field.Text 
LUCENE-3374,NUG, move nrtcachingdir to core in 4.0 
LUCENE-2588,NUG, terms index should not store useless suffixes 
LUCENE-1145,NUG, DisjunctionSumScorer small tweak 
LUCENE-1665,NUG, Remove SortField.AUTO 
LUCENE-2737,NUG, Codec is not consistently passed in internal API 
LUCENE-2936,BUG, score and explain don't match 
LUCENE-1354,NUG, Provide Programmatic Access to CheckIndex 
LUCENE-2384,NUG, Reset zzBuffer in StandardTokenizerImpl* when lexer is reset. 
LUCENE-237,NUG, [PATCH] fix compile errors in sandbox 
LUCENE-400,NUG, NGramFilter -- construct n-grams from a TokenStream 
LUCENE-2170,NUG, Thread starvation problems in some tests 
LUCENE-2332,NUG, Merge CharTermAttribute and deprecations to stable 
LUCENE-788,BUG, contrib/benchmark assumes Locale.US for parsing dates in Reuters collection 
LUCENE-1497,NUG, Minor changes to SimpleHTMLFormatter 
LUCENE-3272,NUG, Consolidate Lucene's QueryParsers into a module 
LUCENE-1341,NUG, BoostingNearQuery class (prototype) 
LUCENE-1867,NUG, replace collation/lib/icu4j.jar with a smaller icu jar 
LUCENE-795,NUG, deprecate Directory.renameFile() 
LUCENE-1752,BUG, incorrect snippet returned with SpanScorer 
LUCENE-203,BUG, [PATCH] GermanAnalyzer fails silently + doesn't close files 
LUCENE-381,NUG, Contributing a High-performance single-document main memory Apache Lucene fulltext search index. 
LUCENE-1567,NUG, New flexible query parser 
LUCENE-2037,NUG, Allow Junit4 tests in our environment. 
LUCENE-2374,NUG, Add reflection API to AttributeSource/AttributeImpl 
LUCENE-3470,NUG, reorder arguments of Field constructor to be more intuitive 
LUCENE-2701,NUG, Factor maxMergeSize into findMergesForOptimize in LogMergePolicy 
LUCENE-2048,NUG, Omit positions but keep termFreq 
LUCENE-1329,NUG, Remove synchronization in SegmentReader.isDeleted 
LUCENE-1693,NUG, AttributeSource/TokenStream API improvements 
LUCENE-468,NUG," Searchable.java: The info in the @deprecated tags do not refer to the search(Weight, etc...) versions... "
LUCENE-3820,NUG, Wrong trailing index calculation in PatternReplaceCharFilter 
LUCENE-2860,BUG, SegmentInfo.sizeInBytes ignore includeDocStore when caching 
LUCENE-2777,NUG, Revise PagedBytes#fillUsingLengthPrefix* methods names 
LUCENE-229,NUG, [PATCH] Binary stored fields 
LUCENE-651,NUG, Poor performance race condition in FieldCacheImpl 
LUCENE-1624,BUG, Don't commit an empty segments_N when IW is opened with create=true 
LUCENE-2417,NUG, Fix IndexCommit hashCode() and equals() to be consistent 
LUCENE-2759,BUG, We should never open an IndexInput when an IndexOutput is still open 
LUCENE-3897,BUG, KuromojiTokenizer fails with large docs 
LUCENE-2647,NUG," Move & rename the terms dict, index, abstract postings out of oal.index.codecs.standard "
LUCENE-232,BUG, Version 1.3 reports IOException when re-creating an index 
LUCENE-1658,NUG, Absorb NIOFSDirectory into FSDirectory 
LUCENE-2554,NUG, preflex codec doesn't order terms correctly 
LUCENE-1453,BUG," When reopen returns a new IndexReader, both IndexReaders may now control the lifecycle of the underlying Directory which is managed by reference counting "
LUCENE-1923,NUG, Add toString() or getName() method to IndexReader 
LUCENE-3712,NUG, Remove unused (and untested) methods from ReaderUtil that are also veeeeery ineffective 
LUCENE-2303,NUG," Remove code duplication from Token class, just extend TermAttributeImpl "
LUCENE-1312,BUG, InstantiatedIndexReader does not implement getFieldNames properly 
LUCENE-964,NUG, Remove DocumentWriter 
LUCENE-2166,BUG," If you hit the ""max term prefix"" warning when indexing, it never goes away "
LUCENE-2637,BUG, FSDirectory.copyBytes isn't safe for SimpleFSDirectory 
LUCENE-1425,NUG, Add ConstantScore highlighting support to SpanScorer 
LUCENE-452,NUG, PrefixQuery is missing the equals() method 
LUCENE-3357,NUG, Unit and integration test cases for the new Similarities 
LUCENE-1569,BUG, IndexReader.clone can leave files open 
LUCENE-247,NUG, Confusing code line 
LUCENE-1817,NUG, it is impossible to use a custom dictionary for SmartChineseAnalyzer 
LUCENE-3721,BUG, CharFilters not being invoked in Solr 
LUCENE-1723,BUG, KeywordTokenizer does not properly set the end offset 
LUCENE-1625,NUG, openReaderPassed not populated in CheckIndex.Status.SegmentInfoStatus 
LUCENE-2813,BUG, TestIndexWriterDelete fails randomly 
LUCENE-2787,NUG, disable atime for DirectIOLinuxDirectory 
LUCENE-3476,BUG, SearcherManager misses to close IR if manager is closed during reopen 
LUCENE-2884,BUG, StandardCodec sometimes supplies skip pointers past EOF 
LUCENE-1257,NUG, Port to Java5 
LUCENE-2068,BUG, fix reverseStringFilter for unicode 4.0 
LUCENE-2747,NUG, Deprecate/remove language-specific tokenizers in favor of StandardTokenizer 
LUCENE-2933,NUG, Two-stage state expansion for the FST: distance-from-root and child-count criteria. 
LUCENE-3680,NUG, exception consistency in o.a.l.store 
LUCENE-3728,NUG, better handling of files inside/outside CFS by codec 
LUCENE-3682,NUG, Add deprecated 'transition' api for Document/Field 
LUCENE-250,NUG, Javadocs for Scorer.java and TermScorer.java 
LUCENE-845,BUG," If you ""flush by RAM usage"" then IndexWriter may over-merge "
LUCENE-3596,NUG, DirectoryTaxonomyWriter extensions should be able to set internal index writer config attributes such as info stream 
LUCENE-947,NUG, Some improvements to contrib/benchmark 
LUCENE-750,NUG, don't use finalizers for FSIndexInput clones 
LUCENE-3417,BUG, DictionaryCompoundWordTokenFilter does not properly add tokens from the end compound word. 
LUCENE-587,BUG, Explanation.toHtml outputs invalid HTML 
LUCENE-3432,BUG, TieredMergePolicy expungeDeletes should not enforce maxMergedSegmentMB 
LUCENE-1117,BUG, Intermittent thread safety issue with EnwikiDocMaker 
LUCENE-2734,NUG, Use IndexWriterConfig in benchmark 
LUCENE-3458,NUG," Change BooleanFilter to have only a single clauses ArrayList (so toString() works fine, clauses() method could be added) so it behaves more lik BooleanQuery "
LUCENE-1113,NUG, fix for Document.getBoost() documentation 
LUCENE-796,NUG, Change Visibility of fields[] in MultiFieldQueryParser 
LUCENE-594,NUG, Javadoc - Field constructor with Reader needs comment about retained reference 
LUCENE-2265,NUG, improve automaton performance by running on byte[] 
LUCENE-1180,BUG, Syns2Index fails 
LUCENE-3368,BUG, IndexWriter commits update documents without corresponding delete 
LUCENE-880,BUG, DocumentWriter closes TokenStreams too early 
LUCENE-393,BUG, Inconsistent scoring with SpanTermQuery in BooleanQuery 
LUCENE-550,NUG, InstantiatedIndex - faster but memory consuming index 
LUCENE-1953,BUG, FastVectorHighlighter: small fragCharSize can cause StringIndexOutOfBoundsException  
LUCENE-1176,BUG, TermVectors corruption case when autoCommit=false 
LUCENE-3508,BUG, Decompounders based on CompoundWordTokenFilterBase cannot be used with custom attributes 
LUCENE-1592,NUG, fix or deprecate TermsEnum.skipTo 
LUCENE-1529,NUG," back-compat tests (""ant test-tag"") should test JAR drop-in-ability "
LUCENE-2247,NUG, Add CharArrayMap to lucene and make CharAraySet an proxy on the keySet() of it 
LUCENE-1653,NUG, Change DateTools to not create a Calendar in every call to dateToString or timeToString 
LUCENE-370,BUG, BooleanQuery assumes everything else implements skipTo 
LUCENE-679,NUG," CLONE -QueryParser is not applicable for the arguments (String, String, Analyzer) error in results.jsp when executing search in the browser (demo from Lucene 2.0) "
LUCENE-1547,BUG, Rare thread hazard in IndexWriter.commit() 
LUCENE-510,NUG, IndexOutput.writeString() should write length in bytes 
LUCENE-739,NUG, Performance improvement for SegmentMerger.mergeNorms() 
LUCENE-2115,NUG, Port to Generics - test cases in contrib  
LUCENE-601,NUG, RAMDirectory implements Serializable 
LUCENE-1970,NUG, Remove deprecated DocIdSetIterator methods 
LUCENE-2793,NUG, Directory createOutput and openInput should take an IOContext 
LUCENE-379,NUG, Contribution: Efficient Sorting of DateField/DateTools Encoded Timestamp Long Values 
LUCENE-1848,NUG," Remove references to older versions of Lucene in ""per-release"" documentation "
LUCENE-1461,NUG, Cached filter for a single term field 
LUCENE-2609,NUG, Generate jar containing test classes. 
LUCENE-1837,NUG, Remove Searcher from Weight#explain 
LUCENE-2778,NUG, Allow easy extension of RAMDirectory 
LUCENE-3394,BUG, TestIndexFileDeleter checkIndex fail 
LUCENE-1701,NUG," Add NumericField, make plain text numeric parsers public in FieldCache, move trie parsers to FieldCache "
LUCENE-2648,NUG, Allow PackedInts.ReaderIterator to advance more than one value 
LUCENE-3174,NUG, Similarity.Stats class for term & collection statistics 
LUCENE-3215,BUG, SloppyPhraseScorer sometimes computes Infinite freq 
LUCENE-3521,BUG, upgrade icu jar to 4.8.1.1 / remove lucenetestcase hack 
LUCENE-952,NUG, GData's TestGdataIndexer.testDestroy() intermittently hits spin loop & causes build timeout 
LUCENE-3703,BUG, DirectoryTaxonomyReader.refresh misbehaves with ref counts 
LUCENE-1283,NUG, Factor out ByteSliceWriter from DocumentsWriterFieldData 
LUCENE-3790,BUG," benchmark cannot parse highlight-vs-vector-highlight.alg, but only on 3.x?! "
LUCENE-3730,NUG, Improved Kuromoji search mode segmentation/decompounding 
LUCENE-3506,NUG, tests for verifying that assertions are enabled do nothing since they ignore AssertionError 
LUCENE-3436,NUG," Spellchecker ""Suggest Mode"" Support "
LUCENE-3719,BUG, FVH: slow performance on very large queries 
LUCENE-2663,NUG, wrong exception from NativeFSLockFactory (LIA2 test case) 
LUCENE-2043,NUG, Fix CommitIndexTask to also commit IndexReader changes 
LUCENE-1483,NUG, Change IndexSearcher multisegment searches to search each individual segment using a single HitCollector 
LUCENE-1126,NUG, Simplify StandardTokenizer JFlex grammar 
LUCENE-3142,NUG, benchmark/stats package is obsolete and unused - remove it 
LUCENE-1656,NUG," When sorting by field, IndexSearcher should not compute scores by default "
LUCENE-3541,BUG, remove IndexInput.copyBuf 
LUCENE-1260,NUG, Norm codec strategy in Similarity 
LUCENE-1500,BUG, Highlighter throws StringIndexOutOfBoundsException 
LUCENE-2370,NUG, Reintegrate flex branch into trunk 
LUCENE-1118,NUG, core analyzers should not produce tokens > N (100?) characters in length 
LUCENE-489,NUG," Allow QP subclasses to support Wildcard Queries with leading ""*"" "
LUCENE-380,NUG, A new Greek Analyzer for Lucene 
LUCENE-513,NUG, Remove superfluous comment in MMapDirectory.java 
LUCENE-2784,NUG, Change all FilteredTermsEnum impls into TermsEnum decorators 
LUCENE-3679,NUG, Replace IndexReader.getFieldNames with IndexReader.getFieldInfos 
LUCENE-786,NUG, Extended javadocs in spellchecker 
LUCENE-1165,NUG, Reduce exposure of nightly build documentation 
LUCENE-1349,NUG, Mark Fieldable as allowing some changes in 2.x future releases 
LUCENE-821,NUG, single norm file still uses up descriptors 
LUCENE-3393,NUG, Rename EasySimilarity to SimilarityBase 
LUCENE-2532,NUG, improve test coverage of multi-segment indices 
LUCENE-2830,NUG, Use StringBuilder instead of StringBuffer in benchmark 
LUCENE-3711,BUG, small SentinelIntSet can cause infinite loop on resize 
LUCENE-1704,NUG, org.apache.lucene.ant.HtmlDocument added Tidy config file passthrough availability 
LUCENE-2491,NUG, Extend Codec with a SegmentInfos writer / reader 
LUCENE-2297,NUG, IndexWriter should let you optionally enable reader pooling 
LUCENE-2401,NUG, Improve performance of CharTermAttribute(Impl) and also fully implement Appendable 
LUCENE-1819,BUG, MatchAllDocsQuery.toString(String field) does not honor the javadoc contract 
LUCENE-3083,BUG, MockRandomMergePolicy optimizes segments not in the Set passed in 
LUCENE-3430,BUG, TestParser.testSpanTermXML fails with some sims 
LUCENE-2733,NUG, Add private ctors to static utility classes 
LUCENE-1860,NUG," switch MultiTermQuery to ""constant score auto"" rewrite by default "
LUCENE-1754,NUG, Get rid of NonMatchingScorer from BooleanScorer2 
LUCENE-1084,NUG, increase default maxFieldLength? 
LUCENE-1640,BUG, MockRAMDirectory (used only by unit tests) has some synchronization problems 
LUCENE-545,NUG, Field Selection and Lazy Field Loading 
LUCENE-317,BUG," [PATCH] When locks are disabled, IndexWriter.close() throws NullPointerException "
LUCENE-1506,NUG, Adding FilteredDocIdSet and FilteredDocIdSetIterator 
LUCENE-1160,NUG, MergeException from CMS threads should record the Directory 
LUCENE-2908,NUG, clean up serialization in the codebase 
LUCENE-768,BUG," Exception in deleteDocument, undeleteAll or setNorm in IndexReader can fail to release write lock on close "
LUCENE-249,NUG, Demo: DeleteFiles doesn't delete files by their path names 
LUCENE-289,NUG, [patch] better support gcj compilation 
LUCENE-898,NUG, contrib/javascript is not packaged into releases 
LUCENE-1152,BUG, SpellChecker does not work properly on calling indexDictionary after clearIndex 
LUCENE-532,NUG, [PATCH] Indexing on Hadoop distributed file system 
LUCENE-1073,NUG," Add unit test showing how to do a ""live backup"" of an index "
LUCENE-3351,BUG, DirectSpellChecker throws NPE if field doesn't exist 
LUCENE-3484,BUG," TaxonomyWriter parents array creation is not thread safe, can cause NPE "
LUCENE-3661,NUG, move deletes under codec 
LUCENE-1634,NUG, LogMergePolicy should use the number of deleted docs when deciding which segments to merge 
LUCENE-2715,NUG, optimize fuzzytermsenum per-segment 
LUCENE-2711,NUG, BooleanScorer.nextDoc should also delegate to sub-scorer's bulk scoring method 
LUCENE-3881,NUG, Create UAX29URLEmailAnalyzer: a standard analyzer that recognizes URLs and emails 
LUCENE-3738,BUG, Be consistent about negative vInt/vLong 
LUCENE-3139,NUG, LuceneTestCase.afterClass does not print enough information if a temp-test-dir fails to delete 
LUCENE-2960,NUG, Allow (or bring back) the ability to setRAMBufferSizeMB on an open IndexWriter 
LUCENE-3698,BUG, FastVectorHighlighter adds a multi value separator (space) to the end of the highlighted text 
LUCENE-2194,NUG, improve efficiency of snowballfilter 
LUCENE-1662,NUG, consolidate FieldCache and ExtendedFieldCache instances 
LUCENE-3175,NUG, speed up core tests 
LUCENE-2638,NUG, Make HighFreqTerms.TermStats class public 
LUCENE-2226,NUG, move contrib/snowball to contrib/analyzers 
LUCENE-3656,NUG," IndexReader's add/removeCloseListener should not use ConcurrentHashMap, just a synchronized set "
