,ID,SUMMARY,CLASSIFIED
57,HTTPCLIENT-2057," [5.0] Potential cleanup for CloseableHttpAsyncClient#execute(SimpleHttpRequest, HttpContext, FutureCallback) ",NUG
58,HTTPCLIENT-2058, DefaultHostnameVerifier does not verify local DNS names ,BUG
59,HTTPCLIENT-2059, MinimalHttpAsyncClient does not allow null HttpContext ,BUG
60,HTTPCLIENT-2060," SSLPeerUnverifiedException: Certificate for <X> doesn't match any of the subject alternative names: [X, Y, Z] ",BUG
61,HTTPCLIENT-2061, Accept-Encoding lost on redirect ,BUG
62,HTTPCLIENT-2062, Apache commons-codec has a vulnerability ,BUG
63,HTTPCLIENT-2063," The ""HTTP 405 Method Not Allowed"" warning is printing exception trace in log file ",BUG
64,HTTPCLIENT-2064, MultipartEntityBuilder should support preamble and epilog ,NUG
65,HTTPCLIENT-2065, Simplify additon of content type parameters in MultipartEntityBuilder ,NUG
66,HTTPCLIENT-2066, Provide ByteArrayBody constructors w/o filename parameter ,NUG
67,HTTPCLIENT-2067, JSON reply from a server comes out crippled from HttpEntity.getContent() ,BUG
68,HTTPCLIENT-2068, Caching HttpClient: Add ability to invalidate cached responses upon revalidation ,NUG
69,HTTPCLIENT-2069, RequestConfig.copy does not copy responseTimeout ,BUG
70,HTTPCLIENT-2070, BasicAuthCache not to use object serialization ,BUG
71,HTTPCLIENT-2071, No Content-Length or Content-Encoding headers for any http response ,BUG
72,HTTPCLIENT-2072," Security vulnerability with apache commons-code 1.11, upgrade to 1.13 ",NUG
73,HTTPCLIENT-2073, HttpClient doesn't authenticate with NTLM on Windows ,BUG
74,HTTPCLIENT-2074, HttpClient incorrectly parses the CONNECT request URI  ,BUG
75,HTTPCLIENT-2075, New method in Request of Fluent HC to set response timeout ,NUG
76,HTTPCLIENT-2076, LaxExpiresHandler throws NullPointerException when a value is null. ,BUG
77,HTTPCLIENT-2077, Migration from HttpClient v4.5.x to v5.0 causes NTLM proxy authentication failure ,BUG
78,HTTPCLIENT-2078, Log deBUG message when no credentials for given auth scope are found ,BUG
79,HTTPCLIENT-2079, version.properties contains non-interpolated value ,BUG
80,HTTPCLIENT-2080, HttpRequestRetryStrategy doesn't delay the retry if IOException occurs ,BUG
81,HTTPCLIENT-2081, Intermittent Connection reset errors while talking to IBM COS ,BUG
82,HTTPCLIENT-2082, PoolingHttpClientConnectionManagerBuilder should also take the connection socket lookup as a builder parameter ,BUG
83,HTTPCLIENT-2083, HttpClientBuilder addExecInterceptorFirst and addExecInterceptorLast NPE ,BUG
84,HTTPCLIENT-2084, HttpClientBuilder placing last HttpRequestInterceptor first ,BUG
85,HTTPCLIENT-2085, NPE in HttpClientBuilder addExecInterceptorFirst and addExecInterceptorLast ,BUG
86,HTTPCLIENT-2086, NTLM Message parse Error ,BUG
87,HTTPCLIENT-2087, What is the alternative to RequestConfig.Builder setLocalAddress in version 5.0? ,NUG
88,HTTPCLIENT-2088, Request headers directly copied to the redirect URL ,BUG
89,HTTPCLIENT-2089," ""Connection pool shut down"" error occurred When using HttpClient to send request. What is the reason? ",BUG
90,HTTPCLIENT-2090, Read timeout not applied for SSLHandshake when using proxy ,BUG
91,HTTPCLIENT-2091, Connect timeout is used instead of socket timeout after a tls upgrade ,BUG
92,HTTPCLIENT-2092, Which class could HttpEntityEnclosingRequestBase be replaced with in version 5.x ,NUG
93,HTTPCLIENT-2093, Broken pipe (Write failed) if service returns error while request is being sent ,BUG
94,HTTPCLIENT-2094, setValidateAfterInactivity disagreement between classic/async for duration zero ,BUG
95,HTTPCLIENT-2095, Consider replacing concatenation into slf4j loggers with interpolation ,NUG
96,HTTPCLIENT-2096, Consider using static loggers instead of instance loggers ,NUG
97,HTTPCLIENT-2097, Avoid boxed primitive instance equality in PoolingAsyncClientConnectionManager ,BUG
98,HTTPCLIENT-2098, maxResultLength parameter no effect on reading HttpEntity ,BUG
99,HTTPCLIENT-2099, unlimited socket timeout results in the connect timeout being used as a socket timeout ,BUG
100,HTTPCLIENT-2100, MultipartEntityBuilder would not support HttpRFC6532Multipart ,BUG
101,HTTPCLIENT-2101, Switch between HTTP 1.0 and HTTP 1.1 ... ,NUG
102,HTTPCLIENT-2102, Socks Proxy connection ignores sotimeout (thus never times out) ,BUG
103,HTTPCLIENT-2103, [5.1] Implement a fluent builder for ManagedHttpClientConnectionFactory ,NUG
104,HTTPCLIENT-2104, [5.1] ManagedHttpClientConnectionFactory should support a configurable ResponseOutOfOrderStrategy ,NUG
105,HTTPCLIENT-2105, HttpClient5 makes post call with no body after 307 redirect ,BUG
106,HTTPCLIENT-2106, Credentials charset for DigestScheme can not be configured any more ,BUG
107,HTTPCLIENT-2107, PoolingHttpClientConnectionManager unsafe volatile field access ,BUG
108,HTTPCLIENT-2108, UriComponentsBuilder extension friendly ,NUG
109,HTTPCLIENT-2109, Incorrect documentation for RequestConfig.Builder.setConnectionKeepAlive ,NUG
110,HTTPCLIENT-2110," Can not get content type from string ""application/octet-stream"" ",BUG
111,HTTPCLIENT-2111," DefaultHostnameVerifier fails with ""doesn't match any of the subject alternative names"" ",BUG
112,HTTPCLIENT-2112, AbstractMultipartFormat uses ByteBuffer.array without arrayOffset ,BUG
113,HTTPCLIENT-2113, Asynch client fails to set Host header during cross-site redirect ,BUG
114,HTTPCLIENT-2114, AsyncHttpRequestRetryExec ignores HttpRequestRetryStrategy  ,BUG
115,HTTPCLIENT-2115, HttpAsyncClientBuilder build() ignores replaceExecInterceptor()  ,BUG
116,HTTPCLIENT-2116," request http website via proxy, the cookie don't work well ",BUG
117,HTTPCLIENT-2117, Raw Query Parameters are not encoded correctly anymore ,BUG
118,HTTPCLIENT-2118, Difference in behavior between 4.5.x and 5.0.x - CloseableHttpClient returns 403 after NoHttpResponseException ,BUG
119,HTTPCLIENT-2119, HttpClientBuilder javadoc is missing proxy authentication properties ,NUG
120,HTTPCLIENT-2120, Support HTTP/2 (TLS) Tunneling over HTTP-Proxy ,BUG
121,HTTPCLIENT-2121," 307 redirect failure with ""Premature end of Content-Length delimited message body"" when Content-Length given ",BUG
122,HTTPCLIENT-2122, Details of H2ConnectionException are omitted by ConnectionClosedException ,BUG
123,HTTPCLIENT-2123, H2AsyncClientBuilder doesn't add RequestInterceptorEntry.Postion.LAST with correct method ,BUG
124,HTTPCLIENT-2124," NullPointerException in org.apache.hc.client5.http.impl.classic.MinimalHttpClient.doExecute(HttpHost, ClassicHttpRequest, HttpContext) ",BUG
125,HTTPCLIENT-2125, NullPointerException in BasicHttpClientConnectionManager ,BUG
126,HTTPCLIENT-2126, AsyncCachingExec throws NPE when response body is null ,BUG
127,HTTPCLIENT-2127, CancelledKeyException Triggers Reactor to Shutdown ,BUG
0,HTTPCLIENT-1200, DecompressingHttpClient fails to request on https host ,BUG
1,HTTPCLIENT-1201, provide basic documentation in an obvious place ,NUG
2,HTTPCLIENT-1202, ResponseCachingPolicy should honor explicit cache-control directives for non-recognized status codes ,BUG
3,HTTPCLIENT-1203, java.lang.NoSuchMethodError: org.apache.http.impl.conn.DefaultClientConnectionOperator ,BUG
4,HTTPCLIENT-1204, redirect error!  java.net.URISyntaxException: Illegal character  ,BUG
5,HTTPCLIENT-1205," FileEntity(File file, ContentType contentType) does not allow the Content-Type to be unset once set ",BUG
6,HTTPCLIENT-1206," DecompressingHttpClient ignores ""https://"" URI, always connects as plain ""http://"" ",BUG
7,HTTPCLIENT-1207, Improve extensibility of DefaultHttpRequestRetryHandler ,NUG
8,HTTPCLIENT-1208, PoolingClientConnectionManager give a new route even if keep-alive ,BUG
9,HTTPCLIENT-1209, remove dots form url when following a redirect ,BUG
10,HTTPCLIENT-1210, Implement HttpRequestBase#toString() ,BUG
11,HTTPCLIENT-1211, SSLSocketFactory constructor throwing java.lang.IllegalStateException: SSLContextImpl is not initialized ,BUG
12,HTTPCLIENT-1212, SET-COOKIE header with RFC1036 Date cannot be parsed / is dropped ,BUG
13,HTTPCLIENT-1213, performance issue with CachingHttpClient ,NUG
14,HTTPCLIENT-1214, DecompressingHttpClient getHttpHost method uses wrong URI component ,BUG
15,HTTPCLIENT-1215, http://host and http://host:80 not considered the same for credential matching ,BUG
16,HTTPCLIENT-1216, org.apache.http.impl.cookie.DateUtils creates but doesn't cleanup a ThreadLocal instance ,BUG
17,HTTPCLIENT-1217, AutoRetryHttpClient does not release connection on retries ,BUG
18,HTTPCLIENT-1218, Serializibility of HttpCacheEntry and BufferedHeader ,BUG
19,HTTPCLIENT-1219, TCP_NODELAY defaults to false ,BUG
20,HTTPCLIENT-1220, Add DecompressingHttpClient#getHttpClient() ,NUG
21,HTTPCLIENT-1221, Add DecompressingHttpClient 0-arg constructor using the DefaultHttpClient ,NUG
24,HTTPCLIENT-1224, (regression) NTLM auth not retried after a redirect over a non-persistent connection ,BUG
25,HTTPCLIENT-1225, A cacheable no-body response causes a NPE when that cache entry is hit ,BUG
27,HTTPCLIENT-1227, DateUtils parsing triggers ParseExceptions ,BUG
28,HTTPCLIENT-1228, HttpGet.abort() / HttpPost.abort() doesn't always abort immediately ,BUG
29,HTTPCLIENT-1229, @ThreadSafe BasicClientConnectionManager is not threadsafe with respect to shutdown ,BUG
30,HTTPCLIENT-1230," BasicClientConnectionManager is not thread safe, remove @ThreadSafe annotation ",BUG
33,HTTPCLIENT-1233," (regression) DefaultConnectionReuseStrategy incorrectly flags connections as non-reusable after 204, 205 or 304 status responses ",BUG
34,HTTPCLIENT-1234, HTTPS + SSLSocketFactory.ALLOW_ALL_HOSTNAME_VERIFIER leads to javax.net.ssl.SSLPeerUnverifiedException: peer not authenticated ,BUG
36,HTTPCLIENT-1236, Change exception message when timeout getting connection from pool ,BUG
37,HTTPCLIENT-1237, PoolingClientConnectionManager should only update pool expiry for resuable connections ,BUG
38,HTTPCLIENT-1238, Contribute Bundle Activator And Central Proxy Configuration ,BUG
39,HTTPCLIENT-1239, Support for overridable DefaultHttpServerConnection in LocalTestServer ,BUG
40,HTTPCLIENT-1240, Empty HttpParams for cacheable requests ,BUG
41,HTTPCLIENT-1241, Preemptive authentication is not preemptive anymore ,BUG
42,HTTPCLIENT-1242, Preemptive authentication using AuthCache stopped working ,BUG
43,HTTPCLIENT-1243, Processing Multipart Response entity - BUG ,BUG
44,HTTPCLIENT-1244, convert unit tests for cache module to use Mockito ,BUG
45,HTTPCLIENT-1245, org.apache.http.impl.client.cache.memcached.SHA256KeyHashingScheme use of MessageDigest should be synchronized ,BUG
46,HTTPCLIENT-1246, Patch for JmxEnabledHttpClient ,BUG
47,HTTPCLIENT-1247, DateUtils.PATTERN_RFC1036 contains an extra 'E' ,BUG
48,HTTPCLIENT-1248, LaxRedirectStrategy converts POST to GET and throws away body ,BUG
49,HTTPCLIENT-1249, DefaultConnectionReuseStrategy -- need to honor keep alives when receiving a 404 on a HEAD request ,BUG
50,HTTPCLIENT-1250, Allow query string to be ignored when determining cacheability for HTTP 1.0 responses ,BUG
51,HTTPCLIENT-1251, PoolingClientConnectionManager and  multithreading problem ,BUG
53,HTTPCLIENT-1253, URIBuilder setParameter() method could exceed the HTTP header size.   ,BUG
54,HTTPCLIENT-1254, Redirect with underscore in hostname causes ProtocolException ,BUG
55,HTTPCLIENT-1255, Wildcard matching in hostname verifier incorrect ,BUG
56,HTTPCLIENT-1256, HttpClient permits man in the middle attacks when using HTTPS ,BUG
58,HTTPCLIENT-1258, NTLM authentication fails for local accounts ,BUG
59,HTTPCLIENT-1259, Calling abort() on DecompressingHttpClient does nothing ,BUG
60,HTTPCLIENT-1260, Javadoc incorrectly states StringBody(String)'s encoding uses the system default. ,BUG
62,HTTPCLIENT-1262, Weird SSL issue (peer not authenticated) [www.popcornopolis.com] ,BUG
63,HTTPCLIENT-1263, CachingHttpClient not consuming backend HttpResponse entity causing PoolingClientConnectionManager to become unresponsive ,BUG
64,HTTPCLIENT-1264, Need CookiePolicy.BROWSER_COMPATIBILITY_MEDIUM_SECURITY policy ,BUG
66,HTTPCLIENT-1266, Flag issues in NTLM implementation prevent authentication on some servers ,BUG
67,HTTPCLIENT-1267, There seems to be no way to get HttpClient to include cookies from a custom store ,BUG
68,HTTPCLIENT-1268, NTLM: Authenticating against some servers throws an exception ,BUG
69,HTTPCLIENT-1269, BrowserCompatSpec: cookies values containing spaces are forwarded without quotes ,BUG
71,HTTPCLIENT-1271, Remove commons-httpclient version 20020423 from the central maven repository ,BUG
72,HTTPCLIENT-1272, HttpClient does not retry failed PROXY authentication when multiple challenges are present ,BUG
73,HTTPCLIENT-1273, DecompressingHttpClient rethrows an HttpException as an IOException ,BUG
74,HTTPCLIENT-1274, NullPointerException on 304 Not Modified response ,BUG
75,HTTPCLIENT-1275, AllowAllHostnameVerifier does not prevent SSL handshake verification errors ,BUG
76,HTTPCLIENT-1276, NullPointerException when 304 response updates a cache entry ,BUG
77,HTTPCLIENT-1277, CachingHttpClient sends a 304 Not Modified to an unconditional request ,BUG
79,HTTPCLIENT-1279, NullPointerException (apparently) when authenticating ,BUG
80,HTTPCLIENT-1280, CachingExec catches SocketTimeoutException silently and closes the backend InputStream ,BUG
81,HTTPCLIENT-1281, GzipDecompressingEntity does not release InputStream when an IOException occurs while reading the Gzip header ,BUG
82,HTTPCLIENT-1282," When using Virtual host, there is no way to use the default port ",BUG
83,HTTPCLIENT-1283, Use of toUpperCase() in NTLM engine may fail on non-US locales ,BUG
84,HTTPCLIENT-1284, Cookie matching issue with virtual hosts ,BUG
87,HTTPCLIENT-1287, DefaultUserTokenHandler.getUserToken() throws ConnectionShutdownException after certain aborted fetches ,BUG
88,HTTPCLIENT-1288, abortable http request that doesn't enforce strict uri syntax ,BUG
89,HTTPCLIENT-1289, Timeout exception caused by http 500 error ,BUG
90,HTTPCLIENT-1290, 304 cached response never reused with If-modified-since conditional requests ,BUG
91,HTTPCLIENT-1291, The HttpGet() and likely other method objects should accept only absoluteURI with path specified  ,BUG
93,HTTPCLIENT-1293, proxy with kerberos auth is not woking ,BUG
94,HTTPCLIENT-1294, CircularRedirectException is falsely thrown on URI case mismatch ,BUG
95,HTTPCLIENT-1295, Syncronous and asynchronous versions of the client report exception in a slightly different way ,BUG
96,HTTPCLIENT-1296, Null pointer exception when using default host and virtual host with port -1 ,BUG
97,HTTPCLIENT-1297, Exception reusing HttpClient https connection ,BUG
98,HTTPCLIENT-1298, Unable to shutdown executor service used by AsynchronousValidator ,BUG
99,HTTPCLIENT-1299, FileNotFoundException on Cached Variant ,BUG
100,HTTPCLIENT-1300, HttpClient does not retry authentication when multiple challenges are present if the primary one fails  ,BUG
101,HTTPCLIENT-1301, HttpClient -> local address binding does not work correctly ,BUG
102,HTTPCLIENT-1302, AllowAllHostnameVerifier should not access session ,BUG
104,HTTPCLIENT-1304, SystemDefaultHttpClient discards Headers set on the request ,BUG
106,HTTPCLIENT-1306, eclipse m2e generates errors on project import because of the maven-notice plugin ,BUG
108,HTTPCLIENT-1308, Request.elementCharset doesn't do anything ,BUG
109,HTTPCLIENT-1309, UnknownHostException if DefaultHttpClient asked to handle HttpRequest whose host name includes a port ,BUG
111,HTTPCLIENT-1311, Interrupt flag is not preserved where InterruptedException is caught ,BUG
112,HTTPCLIENT-1312, Decompressing on redirects with redirection support off doesn't work properly ,BUG
113,HTTPCLIENT-1313, IllegalStateException when using AWS SDK ,BUG
114,HTTPCLIENT-1314, Deadlock in http.client.fluent.Async.ExecRunnable.run() if there is an exception in FutureCallback ,BUG
115,HTTPCLIENT-1315, NTLM or digest authentication using a local user on a domain host doesn't work ,BUG
116,HTTPCLIENT-1316, Certificate verification rejects IPv6 addresses which are not String-equal ,BUG
117,HTTPCLIENT-1317, InetAddressUtils should handle IPv6 Addresses with Embedded IPv4 Addresses ,BUG
118,HTTPCLIENT-1318, Redirect to TLS site via TLS proxy fails - incorrectly marked as insecure target route ,BUG
119,HTTPCLIENT-1319, InetAddressUtils.isIPv6HexCompressedAddress does not detect excess groups ,BUG
120,HTTPCLIENT-1320, SSLSocketFactory.createSystemSSLContext causes java.security.UnrecoverableKeyException: Password verification failed ,BUG
123,HTTPCLIENT-1323, CachingHttpClient ignores params set on the request ,BUG
124,HTTPCLIENT-1324, CachingHttpClientBuilder.build() fails when asynchronousWorkersMax=0 ,BUG
125,HTTPCLIENT-1325, Using a HttpRequest that is not an HttpUriRequest when host in URI is not target host results in an invalid request ,BUG
126,HTTPCLIENT-1326, Cannot override DefaultClientConnectionOperator ,BUG
128,HTTPCLIENT-1328, socketTimeout parameter is ignored ,BUG
129,HTTPCLIENT-1329, SSLSocketFactory keystorePassword constructor parameter should be char[] instead of java.lang.String ,BUG
132,HTTPCLIENT-1332, Missing content-type MultipartEntity Request ,BUG
133,HTTPCLIENT-1333, HttpClient return 400 when requests include a long header value ,BUG
137,HTTPCLIENT-1337," Either DefaultHttpRequestRetryHandler:98 should retry on InterruptedIOException, or DefaultClientConnection's opening() should throw something that can be retried. ",BUG
138,HTTPCLIENT-1338, Caching of digest credentials broken when server expires nonce  (regression bug) ,BUG
139,HTTPCLIENT-1339, SSLPeerUnverifiedException occurs randomly when calling resource via HTTPS ,BUG
140,HTTPCLIENT-1340, Connection re-used in a inconsistent state despite 'Connection: close' after successful authentication  ,BUG
141,HTTPCLIENT-1341, DeflateDecompressingEntity does not call Inflater#end ,BUG
142,HTTPCLIENT-1342," ""java.lang.IllegalArgumentException: Host name may not be null"" thrown during redirect ",BUG
144,HTTPCLIENT-1344, Userinfo Credentials in URI Should Not Default to Preemptive Authentication ,BUG
145,HTTPCLIENT-1345, Useinfo Credentials Ignored In Redirect Location Header ,BUG
146,HTTPCLIENT-1346, SSL handshake exceptions are hidden from application ,BUG
147,HTTPCLIENT-1347, gzip responses doubly cached ,BUG
148,HTTPCLIENT-1348, Incorect extraction of certificate CN in AbstractVerifier ,BUG
149,HTTPCLIENT-1349, SSLSocketFactory incorrectly identifies key passed with keystore as the keystore password. ,BUG
150,HTTPCLIENT-1350, Expect/continue does not consistently work ,BUG
151,HTTPCLIENT-1351, Fragments Are Lost When Following Redirects ,BUG
152,HTTPCLIENT-1352," ""Premature end of Content-Length delimited message body ..."" when reading entity. ",BUG
156,HTTPCLIENT-1356, [commons-httpclient 3.1] HttpElement.parseElements missing values ,BUG
157,HTTPCLIENT-1357, Problem using HTTPS when using proxy ,BUG
159,HTTPCLIENT-1359, Repeated Requests Using the Same Context Fail If They Redirect ,BUG
163,HTTPCLIENT-1363, 4.3 deprecations break NTLMv2 EWS system ,BUG
165,HTTPCLIENT-1365, NPE when ManagedHttpClientConnectionFactory.create(ConnectionConfig) is called with null ,BUG
166,HTTPCLIENT-1366, org.apache.http.client.utils.URLEncodedUtils should parse the semicolon as a query parameter separator ,BUG
167,HTTPCLIENT-1367, decoded PATH of cookie value in CookieOrigin ,BUG
172,HTTPCLIENT-1372, Content-Disposition header in form data does not adhere to RFC6266 ,BUG
173,HTTPCLIENT-1373, OPTIONS and TRACE Should Not Invalidate Cache ,BUG
176,HTTPCLIENT-1376, HttpClient incorrectly reuses HTTP/1.1 connection - the response body of the first request is considered as the response for the second request ,BUG
177,HTTPCLIENT-1377, NTCredentials for Basic Authentication uses slash instead of backslash   ,BUG
181,HTTPCLIENT-1381, NullPointerException during NTLM authentication using null workstation/domain ,BUG
182,HTTPCLIENT-1382, BasicHttpClientConnectionManager  doesn't handle http protocol ,BUG
183,HTTPCLIENT-1383, NTLM authentication can enter in infinite loop ,BUG
185,HTTPCLIENT-1385, CacheKeyGenerator Does Not Normalize Path Correctly ,BUG
186,HTTPCLIENT-1386, Need to add attribute to manifest file of HttpClient  ,BUG
187,HTTPCLIENT-1387, Replace URICollection with List<URI> ,BUG
188,HTTPCLIENT-1388, HttpClient/Core lacks OSGI compatible fields in manifest ,BUG
189,HTTPCLIENT-1389, HttpClient OSGi bundle (4.2.5)'s included JavaMail API bundle will not resolve (should not depend hard on sun.* classes) ,BUG
192,HTTPCLIENT-1392, CLONE - redirect error!  java.net.URISyntaxException: Illegal character  ,BUG
193,HTTPCLIENT-1393, HTTP Request Headers dont persist for multiple redirects ,BUG
195,HTTPCLIENT-1395, Call the storage implementation only once on a cache miss ,BUG
198,HTTPCLIENT-1398, Unable to access HttpClients or HttpClientBuilder in OSGi ,BUG
199,HTTPCLIENT-1399, NPE in org.apache.http.client.methods.RequestBuilder line 237 ,BUG
203,HTTPCLIENT-1403, HttpClient cannot handle contatenated gzip streams ,BUG
205,HTTPCLIENT-1405, HttpClient 4.3 - ProxyClient CONNECT message missing Host header ,BUG
206,HTTPCLIENT-1406, https on port 80 over proxy caused the http client to go into an infinite loop ,BUG
211,HTTPCLIENT-1411, Http Client may throw an IllegalArgumentException with certain cookies ,BUG
213,HTTPCLIENT-1413, Divide by Zero error in FutureRequestExecutionMetrics ,BUG
217,HTTPCLIENT-1417, Null pointer exception during cookie parsing ,BUG
218,HTTPCLIENT-1418, Class cast exception when ClientPNames.CONN_MANAGER_TIMEOUT is set ,BUG
224,HTTPCLIENT-1424, Axis2 Service Stub throws java.lang.IllegalStateException ,BUG
225,HTTPCLIENT-1425, Socket Closed Exception When Reading Connection: close Response Entities ,BUG
285,HTTPCLIENT-1426, MultipartEntityBuilder creates malformed HttpEntity ,BUG
286,HTTPCLIENT-1427, Tutorial about Preemptive authentication misses setting AuthCache ,BUG
287,HTTPCLIENT-1428, Minor error in javadoc for CacheConfig.Builder.setHeuristicCachingEnabled ,BUG
288,HTTPCLIENT-1429, Very large cookies should be logged in a truncated form ,BUG
289,HTTPCLIENT-1430, Please reduce object creation in HeaderGroup.getFirstHeader() ,BUG
290,HTTPCLIENT-1431,The HTTPClient 4.3 doesn't accept the SocketFactory based on the LayeredSchemeSocketFactory when using HTTP proxy,BUG
291,HTTPCLIENT-1432, Lazy decompressing of HttpEntity.getContent() ,BUG
292,HTTPCLIENT-1433, DefaultClientConnectionOperator instance check inconsistent with explicit cast ,BUG
293,HTTPCLIENT-1434, TrustSelfSignedStrategy should be a singleton ,BUG
294,HTTPCLIENT-1435, Proxy authentication of Fluent API does not work ,BUG
295,HTTPCLIENT-1436,Unable to retrieve binary encoded response from a website using httpclient 4.3,BUG
296,HTTPCLIENT-1437, Fluent Executor.execute is not thread safe ,BUG
297,HTTPCLIENT-1438, org.apache.http.NoHttpResponseException: The target server failed to respond ,BUG
298,HTTPCLIENT-1439, Infinite timeout on entity send ,BUG
299,HTTPCLIENT-1440, NPE When Location Is file: URI ,BUG
300,HTTPCLIENT-1441, AsynchronousValidationRequest and a connection pool leak ,BUG
301,HTTPCLIENT-1442, Request loses authorization header when redirected by proxy ,BUG
