CLASSIFIED_LABEL,WORDS_TF,SUMMARY,WORDS_TF_norm,rawPrediction,probability,prediction,Allocation,Reason for misclassification,Category(if any)
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[1,15,56,204,273,311,354,506,872],""values"":[1,1,1,1,1,2,1,1,1]}", SpellChecker file descriptor leak - no way to close the IndexSearcher used by SpellChecker internally ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[1,15,56,204,273,311,354,506,872],""values"":[0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1]}","{""vectorType"":""dense"",""length"":2,""values"":[-68.1504512557743,-71.98891709761294]}","{""vectorType"":""dense"",""length"":2,""values"":[0.9789270282242122,0.021072971775787812]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[3,9,34,36,63,168,221,258,601,1021],""values"":[1,1,1,1,1,1,1,1,1,1]}", DEFAULT_ATTRIBUTE_FACTORY faills to load implementation class when iterface comes from different classloader ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[3,9,34,36,63,168,221,258,601,1021],""values"":[0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1]}","{""vectorType"":""dense"",""length"":2,""values"":[-63.95684801611273,-68.65350526675945]}","{""vectorType"":""dense"",""length"":2,""values"":[0.9909567946559977,0.00904320534400218]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[27,29,174,250,433,858,1140],""values"":[1,1,1,1,1,1,1]}", Inconsistent behaviour sorting against field with no related documents ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[27,29,174,250,433,858,1140],""values"":[0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285]}","{""vectorType"":""dense"",""length"":2,""values"":[-50.23626264896329,-52.50073536711174]}","{""vectorType"":""dense"",""length"":2,""values"":[0.9058916320042508,0.09410836799574909]}",0,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[1,229,285,1339,1557],""values"":[1,1,1,1,1]}", FieldCacheImpl's getCacheEntries() is buggy as it uses WeakHashMap incorrectly and leads to ConcurrentModExceptions ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[1,229,285,1339,1557],""values"":[0.2,0.2,0.2,0.2,0.2]}","{""vectorType"":""dense"",""length"":2,""values"":[-38.317309984647665,-37.03839980843445]}","{""vectorType"":""dense"",""length"":2,""values"":[0.21773579280008132,0.7822642071999187]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[1,132,217],""values"":[1,1,1]}", Enable the use of NoMergePolicy and NoMergeScheduler by Benchmark ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[1,132,217],""values"":[0.3333333333333333,0.3333333333333333,0.3333333333333333]}","{""vectorType"":""dense"",""length"":2,""values"":[-17.624585801515344,-20.52157635734508]}","{""vectorType"":""dense"",""length"":2,""values"":[0.9476974686934238,0.052302531306576173]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[36,104,181,301,525,801],""values"":[1,2,1,1,1,1]}", Merging implemented by codecs must catch aborted merges ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[36,104,181,301,525,801],""values"":[0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285]}","{""vectorType"":""dense"",""length"":2,""values"":[-49.94783400333437,-50.1395430801578]}","{""vectorType"":""dense"",""length"":2,""values"":[0.5477810199548864,0.45221898004511374]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[76,100,103,104,317,790],""values"":[1,1,1,1,1,1]}", Some small fixes after the flex merge... ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[76,100,103,104,317,790],""values"":[0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666]}","{""vectorType"":""dense"",""length"":2,""values"":[-40.98866797895179,-43.88595885852255]}","{""vectorType"":""dense"",""length"":2,""values"":[0.9477123528318988,0.05228764716810117]}",0,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[22,30,139,307,508,580],""values"":[1,1,1,1,1,1]}", bug form doesn't list latest version ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[22,30,139,307,508,580],""values"":[0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666]}","{""vectorType"":""dense"",""length"":2,""values"":[-43.72330283231093,-40.62293382214131]}","{""vectorType"":""dense"",""length"":2,""values"":[0.0430920361994225,0.9569079638005775]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[48,65,337,560,1109,1204,2074],""values"":[1,1,1,1,1,1,1]}", NumericRangeQuery errors with endpoints near long min and max values ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[48,65,337,560,1109,1204,2074],""values"":[0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285]}","{""vectorType"":""dense"",""length"":2,""values"":[-54.304372443245555,-54.82967895920284]}","{""vectorType"":""dense"",""length"":2,""values"":[0.628387767670063,0.3716122323299371]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[6,181,1282],""values"":[1,1,1]}", TestParallelTermEnum fails with Sep codec ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[6,181,1282],""values"":[0.3333333333333333,0.3333333333333333,0.3333333333333333]}","{""vectorType"":""dense"",""length"":2,""values"":[-21.385479872830082,-21.625728826388805]}","{""vectorType"":""dense"",""length"":2,""values"":[0.5597749990458749,0.44022500095412515]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[5,9,24,77,78,87,340],""values"":[1,1,1,1,1,1,1]}", Random Test Failure org.apache.lucene.TestExternalCodecs.testPerFieldCodec (from TestExternalCodecs) ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[5,9,24,77,78,87,340],""values"":[0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285]}","{""vectorType"":""dense"",""length"":2,""values"":[-41.53720076055174,-44.57965797687008]}","{""vectorType"":""dense"",""length"":2,""values"":[0.9544557636673302,0.045544236332669755]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[29,110,420,1338],""values"":[1,1,1,1]}", IndexReader.termDocs() retrieves no documents ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[29,110,420,1338],""values"":[0.25,0.25,0.25,0.25]}","{""vectorType"":""dense"",""length"":2,""values"":[-28.659137441649946,-30.14666992632478]}","{""vectorType"":""dense"",""length"":2,""values"":[0.8157076231465453,0.18429237685345468]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[49,76,150,317],""values"":[1,1,1,1]}", Fix small perf issues with String/TermOrdValComparator ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[49,76,150,317],""values"":[0.25,0.25,0.25,0.25]}","{""vectorType"":""dense"",""length"":2,""values"":[-26.993554800206738,-27.306967567610318]}","{""vectorType"":""dense"",""length"":2,""values"":[0.577718059615392,0.4222819403846079]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[591,610,615,1109],""values"":[1,1,1,1]}", NumericRangeQuery.NumericRangeTermsEnum sometimes seeks backwards ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[591,610,615,1109],""values"":[0.25,0.25,0.25,0.25]}","{""vectorType"":""dense"",""length"":2,""values"":[-33.282474931593484,-33.365051802059696]}","{""vectorType"":""dense"",""length"":2,""values"":[0.5206324946376754,0.47936750536232464]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[168,226,263,402,461],""values"":[1,1,1,1,1]}", multitermquery scoring differences between 3x and trunk ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[168,226,263,402,461],""values"":[0.2,0.2,0.2,0.2,0.2]}","{""vectorType"":""dense"",""length"":2,""values"":[-36.55104511698551,-38.9693979490004]}","{""vectorType"":""dense"",""length"":2,""values"":[0.9182161352022752,0.08178386479772476]}",0,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[22,184,515,681,839],""values"":[1,1,1,1,1]}", SegmentInfos shouldn't blindly increment version on commit ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[22,184,515,681,839],""values"":[0.2,0.2,0.2,0.2,0.2]}","{""vectorType"":""dense"",""length"":2,""values"":[-39.2370337310056,-35.92822335504667]}","{""vectorType"":""dense"",""length"":2,""values"":[0.03527017520848622,0.9647298247915138]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,6,11,14,79,262,267,281,785,1879],""values"":[1,1,1,1,1,1,1,1,1,1]}", NumericTokenStream.NumericTermAttribute does not support cloning -> Solr analysis request handlers fail ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,6,11,14,79,262,267,281,785,1879],""values"":[0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1]}","{""vectorType"":""dense"",""length"":2,""values"":[-66.39197858316409,-67.08888204855172]}","{""vectorType"":""dense"",""length"":2,""values"":[0.6675008733944977,0.33249912660550235]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[111,290,927,959,1687],""values"":[1,1,1,1,1]}", MultiPhraseQuery sums its own idf instead of Similarity. ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[111,290,927,959,1687],""values"":[0.2,0.2,0.2,0.2,0.2]}","{""vectorType"":""dense"",""length"":2,""values"":[-40.44554169049693,-41.81276366452064]}","{""vectorType"":""dense"",""length"":2,""values"":[0.7969309508682023,0.20306904913179763]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[38,221,717],""values"":[1,1,1]}", MockRandomCodec loads termsIndex even if termsIndexDivisor is set to -1 ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[38,221,717],""values"":[0.3333333333333333,0.3333333333333333,0.3333333333333333]}","{""vectorType"":""dense"",""length"":2,""values"":[-21.485736476569734,-21.731089342046634]}","{""vectorType"":""dense"",""length"":2,""values"":[0.5610323541589765,0.4389676458410235]}",0,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,104,2217],""values"":[1,1,1]}", CMS merge throttling is not aggressive enough ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,104,2217],""values"":[0.3333333333333333,0.3333333333333333,0.3333333333333333]}","{""vectorType"":""dense"",""length"":2,""values"":[-20.843882590397335,-19.946687118009]}","{""vectorType"":""dense"",""length"":2,""values"":[0.2896271694502672,0.7103728305497329]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,2,17,101,284,446,690],""values"":[1,1,1,1,1,1,2]}", SegmentReader.doCommit should be sync'd; norms methods need not be sync'd ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,2,17,101,284,446,690],""values"":[0.125,0.125,0.125,0.125,0.125,0.125,0.25]}","{""vectorType"":""dense"",""length"":2,""values"":[-51.76353683134736,-54.15038319841918]}","{""vectorType"":""dense"",""length"":2,""values"":[0.915818758135101,0.08418124186489885]}",0,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[46,115,486,936,2004],""values"":[1,1,1,1,1]}", SpecialOperations.isFinite can have TERRIBLE TERRIBLE runtime in certain situations ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[46,115,486,936,2004],""values"":[0.2,0.2,0.2,0.2,0.2]}","{""vectorType"":""dense"",""length"":2,""values"":[-39.056977180842495,-38.24986401326726]}","{""vectorType"":""dense"",""length"":2,""values"":[0.3085060031145164,0.6914939968854835]}",1,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[13,82,146,332,839],""values"":[1,1,1,1,1]}", Build SegmentCodecs incrementally for consistent codecIDs during indexing ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[13,82,146,332,839],""values"":[0.2,0.2,0.2,0.2,0.2]}","{""vectorType"":""dense"",""length"":2,""values"":[-35.388138477612,-34.645064630559546]}","{""vectorType"":""dense"",""length"":2,""values"":[0.32233234407080624,0.6776676559291939]}",1,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[6,841,1624],""values"":[1,1,1]}", TestCollectionUtil fails on IBM JRE ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[6,841,1624],""values"":[0.3333333333333333,0.3333333333333333,0.3333333333333333]}","{""vectorType"":""dense"",""length"":2,""values"":[-25.25668088373797,-21.471578146561548]}","{""vectorType"":""dense"",""length"":2,""values"":[0.022202390607023906,0.9777976093929761]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[1,15,24,233,284,373,2260],""values"":[1,1,1,1,1,1,1]}"," if you use setNorm, lucene writes a headerless separate norms file ","{""vectorType"":""sparse"",""length"":2425,""indices"":[1,15,24,233,284,373,2260],""values"":[0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285]}","{""vectorType"":""dense"",""length"":2,""values"":[-46.87270205677174,-48.03571356179283]}","{""vectorType"":""dense"",""length"":2,""values"":[0.7618794902735547,0.23812050972644525]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[78,340,770],""values"":[1,1,1]}", TestOmitTf.testMixedMerge random seed failure ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[78,340,770],""values"":[0.3333333333333333,0.3333333333333333,0.3333333333333333]}","{""vectorType"":""dense"",""length"":2,""values"":[-22.82584145522025,-22.93506214637257]}","{""vectorType"":""dense"",""length"":2,""values"":[0.5272780611496952,0.4727219388503048]}",0,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[48,93,157,216,345,360,459,860,1015,1234],""values"":[1,1,1,1,1,1,1,1,1,1]}", SorterTemplate.quickSort stack overflows on broken comparators that produce only few disticnt values in large arrays ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[48,93,157,216,345,360,459,860,1015,1234],""values"":[0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1]}","{""vectorType"":""dense"",""length"":2,""values"":[-76.59567360749303,-74.10284993396692]}","{""vectorType"":""dense"",""length"":2,""values"":[0.07636280096778708,0.9236371990322129]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[16,96,129,506,529,777],""values"":[1,1,1,1,1,1]}"," [PATCH] IndexSearcher.search(query,filter,nDocs) accepts zero nDocs ","{""vectorType"":""sparse"",""length"":2425,""indices"":[16,96,129,506,529,777],""values"":[0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666]}","{""vectorType"":""dense"",""length"":2,""values"":[-43.10382798895991,-44.18986573692263]}","{""vectorType"":""dense"",""length"":2,""values"":[0.7476348696751228,0.2523651303248772]}",0,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[4,21,139,413,441,1201,1437],""values"":[1,1,1,1,1,1,1]}", Add workaround for ICU bug in combination with Java7 to LuceneTestCase ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[4,21,139,413,441,1201,1437],""values"":[0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285]}","{""vectorType"":""dense"",""length"":2,""values"":[-52.22116800468549,-52.00141735019722]}","{""vectorType"":""dense"",""length"":2,""values"":[0.4452823538844566,0.5547176461155434]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[142,470,499],""values"":[1,1,1]}", XMLparser drops user boosting ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[142,470,499],""values"":[0.3333333333333333,0.3333333333333333,0.3333333333333333]}","{""vectorType"":""dense"",""length"":2,""values"":[-22.440248421264087,-23.405065775618308]}","{""vectorType"":""dense"",""length"":2,""values"":[0.7240852822603775,0.2759147177396224]}",0,Sanyam,,
0,"{""vectorType"":""sparse"",""length"":2425,""indices"":[29,254,1029],""values"":[1,1,1]}", EasySimilarity to interpret document length as float ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[29,254,1029],""values"":[0.3333333333333333,0.3333333333333333,0.3333333333333333]}","{""vectorType"":""dense"",""length"":2,""values"":[-22.336069240652087,-22.25433748581118]}","{""vectorType"":""dense"",""length"":2,""values"":[0.4795784281683433,0.5204215718316567]}",1,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[9,88,226,482],""values"":[1,1,1,1]}", wrong stats/scoring from MemoryCodec ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[9,88,226,482],""values"":[0.25,0.25,0.25,0.25]}","{""vectorType"":""dense"",""length"":2,""values"":[-26.66257105156736,-27.773235977738437]}","{""vectorType"":""dense"",""length"":2,""values"":[0.7522530534483983,0.24774694655160173]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,11,38,60,67,167,176,1822],""values"":[1,1,1,1,1,1,1,1]}", The deprecated constructor of BooleanClause does not set new state ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,11,38,60,67,167,176,1822],""values"":[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]}","{""vectorType"":""dense"",""length"":2,""values"":[-50.9325792632782,-52.0891008982918]}","{""vectorType"":""dense"",""length"":2,""values"":[0.7607001033824414,0.23929989661755854]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[1,3,6,230,506,629],""values"":[1,1,1,1,1,1]}", IndexSearcher fails to pass docBase to Collector when using ExecutorService ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[1,3,6,230,506,629],""values"":[0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666]}","{""vectorType"":""dense"",""length"":2,""values"":[-37.48469383186028,-40.1083301329931]}","{""vectorType"":""dense"",""length"":2,""values"":[0.9323673667961092,0.06763263320389074]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,267,1172,2139],""values"":[1,1,1,1]}", CharFilters not being invoked in Solr ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[0,267,1172,2139],""values"":[0.25,0.25,0.25,0.25]}","{""vectorType"":""dense"",""length"":2,""values"":[-30.023920622907106,-30.409466596519117]}","{""vectorType"":""dense"",""length"":2,""values"":[0.5952100248813154,0.4047899751186847]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[8,76,226],""values"":[1,1,1]}", Remove FieldMaskingSpanQuery (or fix its scoring) ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[8,76,226],""values"":[0.3333333333333333,0.3333333333333333,0.3333333333333333]}","{""vectorType"":""dense"",""length"":2,""values"":[-18.18483948289316,-20.1395891302992]}","{""vectorType"":""dense"",""length"":2,""values"":[0.8759636196397802,0.12403638036021974]}",0,Sanyam,,
1,"{""vectorType"":""sparse"",""length"":2425,""indices"":[1,15,58,76,254,485],""values"":[2,1,1,1,1,1]}", fix assertions/checks that use File.length() to use getFilePointer() ,"{""vectorType"":""sparse"",""length"":2425,""indices"":[1,15,58,76,254,485],""values"":[0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285]}","{""vectorType"":""dense"",""length"":2,""values"":[-41.83257265048084,-42.10770170579619]}","{""vectorType"":""dense"",""length"":2,""values"":[0.5683516446466931,0.4316483553533069]}",0,Sanyam,,
